CP,BE-sup,B-sup,C,B-inf,BE-inf,Extra1,Extra2,Extra3,Extra4
1,4.36,22,5.5,43,6.05,64,6.35,85,8.9
2,7.76,23,4.32,44,5.24,65,7.95,86,6.28
3,6.02,24,7.15,45,8.52,66,6.81,87,6.53
4,6.92,25,5.49,46,9.51,67,6.5,88,5.55
5,5.34,26,4.61,47,7.61,68,6.12,89,5.45
6,7.11,27,4.24,48,6.98,69,5.24,90,6.05
7,7.79,28,5.26,49,5.8,70,5.37,91,5.64
8,6.1,29,5.18,50,6.25,71,5.47,92,5.31
9,6.75,30,8.78,51,7.39,72,5.02,93,5.63
10,6.54,31,5.38,52,7.8,73,3.33,94,6.04
11,7.05,32,5.65,53,6.59,74,4.01,95,6.6
12,8.86,33,9.03,54,5.78,75,4.78,96,5.99
13,6.62,34,5.88,55,7.58,76,2.8,97,6.35
14,9.37,35,6.0,56,7.29,77,3.88,98,7.81
15,8.21,36,10.34,57,2.72,78,5.88,99,6.11
16,8.46,37,5.52,58,3.78,79,5.5,100,6.53
17,8.12,38,6.22,59,5.97,80,5.32,101,8.11
18,9.31,39,6.86,60,7.3,81,6.32,102,6.92
19,8.96,40,5.09,61,5.34,82,5.35,103,7.87
20,8.62,41,5.85,62,7.62,83,5.03,104,9.34
21,9.13,42,7.5,63,6.6,84,5.64,105,8.77
